id_estacion,lat,lon,barrio,barrio
513,-34.5971297,-58.490739000000005,AGRONOMIA,AGRONOMIA
460,-34.6075,-58.51193000000001,VILLA DEVOTO,VILLA DEVOTO
467,-34.6055135,-58.3958925,BALVANERA,BALVANERA
382,-34.60543081369964,-58.47725521899702,VILLA DEL PARQUE,VILLA DEL PARQUE
137,-34.6155977,-58.3674923,MONSERRAT,MONSERRAT
99,-34.5960961,-58.43540800000001,VILLA CRESPO,VILLA CRESPO
68,-34.552148,-58.480464,SAAVEDRA,SAAVEDRA
17,-34.6064101,-58.4187306,ALMAGRO,ALMAGRO
284,-34.631018,-58.435056,PARQUE CHACABUCO,PARQUE CHACABUCO
432,-34.619879,-58.435801,CABALLITO,CABALLITO
26,-34.600752,-58.3638723,PUERTO MADERO,PUERTO MADERO
530,-34.61651103390999,-58.43235024128227,CABALLITO,CABALLITO
12,-34.5927096,-58.388807,RECOLETA,RECOLETA
299,-34.631705,-58.466143,FLORES,FLORES
163,-34.6095663,-58.4064308,BALVANERA,BALVANERA
135,-34.5976425,-58.378363,RETIRO,RETIRO
35,-34.5964246,-58.371847,RETIRO,RETIRO
184,-34.6306129,-58.3913419,PARQUE PATRICIOS,PARQUE PATRICIOS
179,-34.6384786,-58.3642885,BOCA,BOCA
161,-34.6020779,-58.4196761,ALMAGRO,ALMAGRO
212,-34.600275,-58.434875,VILLA CRESPO,VILLA CRESPO
277,-34.563539,-58.436115,PALERMO,PALERMO
183,-34.6156994,-58.3899728,MONSERRAT,MONSERRAT
213,-34.599659,-58.442685,VILLA CRESPO,VILLA CRESPO
204,-34.614948,-58.42781800000001,ALMAGRO,ALMAGRO
199,-34.6222601,-58.41601370000001,BOEDO,BOEDO
5,-34.5805497,-58.4209542,PALERMO,PALERMO
117,-34.61955283137281,-58.37315930476108,SAN TELMO,SAN TELMO
517,-34.5745008,-58.42481399999999,PALERMO,PALERMO
232,-34.5599779,-58.4790578,COGHLAN,COGHLAN
416,-34.553262,-58.469133,NUÑEZ,NUÑEZ
220,-34.635128,-58.42757300000001,PARQUE CHACABUCO,PARQUE CHACABUCO
289,-34.559801,-58.44831400000001,BELGRANO,BELGRANO
489,-34.5476039,-58.4565662,NUÑEZ,NUÑEZ
74,-34.60439,-58.43454,CABALLITO,CABALLITO
275,-34.562277,-58.459289,BELGRANO,BELGRANO
4,-34.6030082348981,-58.36885646243477,SAN NICOLAS,SAN NICOLAS
79,-34.61189,-58.36393000000001,PUERTO MADERO,PUERTO MADERO
29,-34.6079414,-58.4335573,CABALLITO,CABALLITO
130,-34.5917376,-58.37436403,RETIRO,RETIRO
526,-34.54162804074317,-58.46340407324711,NUÑEZ,NUÑEZ
80,-34.6245807,-58.43412319999999,CABALLITO,CABALLITO
165,-34.597048,-58.407614,RECOLETA,RECOLETA
271,-34.629967,-58.473725,FLORES,FLORES
418,-34.5809383,-58.44458039999999,COLEGIALES,COLEGIALES
111,-34.6054877,-58.3646858,,
535,-34.60251720000001,-58.449658973016376,VILLA CRESPO,VILLA CRESPO
70,-34.5926862,-58.4260597,PALERMO,PALERMO
6,-34.628526,-58.369758,SAN TELMO,SAN TELMO
234,-34.54723249654352,-58.4468016411338,BELGRANO,BELGRANO
89,-34.5825475,-58.4056671,PALERMO,PALERMO
435,-34.544503,-58.459499,NUÑEZ,NUÑEZ
524,-34.557933,-58.4607027,BELGRANO,BELGRANO
500,-34.5532117,-58.464224299999984,NUÑEZ,NUÑEZ
479,-34.6262877,-58.45530009999998,FLORES,FLORES
364,-34.570161,-58.43558,PALERMO,PALERMO
534,-34.5829625,-58.42997930000001,PALERMO,PALERMO
329,-34.59310953590707,-58.43506630059434,VILLA CRESPO,VILLA CRESPO
206,-34.58495,-58.437339,PALERMO,PALERMO
468,-34.6042288,-58.39373749999999,BALVANERA,BALVANERA
522,-34.6022435,-58.44254819999999,VILLA CRESPO,VILLA CRESPO
414,-34.6112804,-58.45004339999999,CABALLITO,CABALLITO
259,-34.5591522,-58.4441762,BELGRANO,BELGRANO
508,-34.6391718,-58.4947858,VILLA LURO,VILLA LURO
