ID_usuario,edad_usuario,año_alta,mes_alta,dia_alta,hora_alta_h,hora_alta_m,hora_alta_s,genero_FEMALE,genero_MALE,genero_OTHER
380973,49,3,10,18,5,57,40,1,0,0
381008,26,2,1,18,5,53,6,0,1,0
624273,22,28,9,18,5,57,35,0,1,0
624274,24,28,9,18,5,57,35,1,0,0
624275,30,5,10,18,5,57,42,0,1,0
624277,51,28,9,18,5,57,35,0,1,0
624279,34,1,10,18,5,57,38,0,1,0
381317,17,14,12,18,5,58,52,0,1,0
381369,22,17,5,18,5,55,21,0,1,0
381174,17,18,1,18,5,53,22,1,0,0
381215,22,22,1,18,5,53,26,1,0,0
381219,31,11,4,18,5,54,45,1,0,0
381686,47,21,5,18,5,55,25,0,1,0
381762,27,12,7,18,5,56,17,1,0,0
381602,32,24,7,18,5,56,29,1,0,0
381609,30,15,2,18,5,53,50,0,1,0
381626,31,1,9,18,5,57,8,0,1,0
381648,20,26,10,18,5,58,3,1,0,0
381867,40,2,6,18,5,55,37,1,0,0
381869,20,6,9,18,5,57,13,0,1,0
381918,19,16,2,18,5,53,51,1,0,0
382044,30,8,5,18,5,55,12,0,1,0
382080,39,2,1,18,5,53,6,1,0,0
381797,33,20,9,18,5,57,27,0,1,0
382491,47,26,1,18,5,53,30,1,0,0
382155,28,3,1,18,5,53,7,1,0,0
382200,47,26,10,18,5,58,3,0,1,0
382285,43,17,1,18,5,53,21,1,0,0
382290,42,27,2,18,5,54,2,1,0,0
382358,31,5,6,18,5,55,40,0,1,0
382372,20,27,6,18,5,56,2,1,0,0
382390,26,22,8,18,5,56,58,1,0,0
382679,29,13,7,18,5,56,18,0,1,0
382685,20,15,7,18,5,56,20,1,0,0
382739,28,13,11,18,5,58,21,0,1,0
382542,52,12,9,18,5,57,19,0,1,0
382612,33,9,6,18,5,55,44,0,1,0
382616,34,8,11,18,5,58,16,0,1,0
382622,54,28,2,18,5,54,3,0,1,0
176289,32,29,6,18,5,56,4,1,0,0
176347,58,27,4,18,5,55,1,1,0,0
177749,22,18,12,18,5,58,56,0,1,0
177766,39,18,10,18,5,57,55,0,1,0
177792,32,1,3,18,5,54,4,0,1,0
177126,27,8,5,18,5,55,12,0,1,0
176465,27,5,1,18,5,53,9,1,0,0
177887,50,3,5,18,5,55,7,1,0,0
176501,26,15,5,18,5,55,19,1,0,0
176505,29,2,10,18,5,57,39,0,1,0
177271,65,15,2,18,5,53,50,1,0,0
177281,25,24,8,18,5,57,0,0,1,0
176573,28,16,4,18,5,54,50,0,1,0
176611,24,28,9,18,5,57,35,0,1,0
177372,54,28,6,18,5,56,3,0,1,0
177421,26,16,5,18,5,55,20,1,0,0
178137,27,21,8,18,5,56,57,1,0,0
177469,24,26,3,18,5,54,29,1,0,0
177505,25,26,3,18,5,54,29,1,0,0
176827,30,8,9,18,5,57,15,1,0,0
176850,59,16,8,18,5,56,52,0,1,0
177554,47,29,10,18,5,58,6,0,1,0
177605,30,25,2,18,5,54,0,0,1,0
215341,30,13,6,18,5,55,48,0,1,0
215377,23,29,7,18,5,56,34,0,1,0
215637,41,7,2,18,5,53,42,1,0,0
216330,28,27,9,18,5,57,34,1,0,0
216346,27,17,7,18,5,56,22,0,1,0
215497,24,3,9,18,5,57,10,1,0,0
216404,40,27,11,18,5,58,35,1,0,0
215518,24,27,8,18,5,57,3,0,1,0
215715,52,11,6,18,5,55,46,0,1,0
216408,19,9,4,18,5,54,43,0,1,0
216420,25,27,7,18,5,56,32,1,0,0
216445,16,9,11,18,5,58,17,0,1,0
215879,31,25,9,18,5,57,32,0,1,0
215904,31,30,10,18,5,58,7,1,0,0
215061,34,15,1,18,5,53,19,0,1,0
215980,25,30,8,18,5,57,6,1,0,0
215116,30,24,1,18,5,53,28,0,1,0
215157,21,1,11,18,5,58,9,0,1,0
216017,39,3,1,18,5,53,7,1,0,0
216076,26,30,8,18,5,57,6,1,0,0
215213,26,29,8,18,5,57,5,1,0,0
215234,21,13,9,18,5,57,20,1,0,0
216141,44,6,7,18,5,56,11,1,0,0
215319,37,31,8,18,5,57,7,0,1,0
216181,27,25,9,18,5,57,32,0,1,0
216616,25,17,12,18,5,58,55,1,0,0
216620,33,1,2,18,5,53,36,0,1,0
216740,42,28,8,18,5,57,4,1,0,0
216744,27,6,10,18,5,57,43,0,1,0
216763,16,28,8,18,5,57,4,1,0,0
216885,33,1,3,18,5,54,4,1,0,0
506898,21,30,1,18,5,53,34,1,0,0
506900,39,29,1,18,5,53,33,1,0,0
506901,49,6,2,18,5,53,41,0,1,0
506902,42,29,1,18,5,53,33,0,1,0
506905,27,10,5,18,5,55,14,0,1,0
506906,45,29,1,18,5,53,33,1,0,0
506908,25,21,3,18,5,54,24,1,0,0
506911,31,1,2,18,5,53,36,1,0,0
506913,45,5,2,18,5,53,40,1,0,0
506914,22,29,1,18,5,53,33,1,0,0
506917,30,29,1,18,5,53,33,1,0,0
506921,24,29,1,18,5,53,33,1,0,0
506922,28,1,2,18,5,53,36,1,0,0
506923,21,29,1,18,5,53,33,0,1,0
506925,44,30,1,18,5,53,34,1,0,0
506930,29,1,2,18,5,53,36,0,1,0
506933,22,28,5,18,5,55,32,1,0,0
506934,22,20,2,18,5,53,55,1,0,0
506939,26,29,1,18,5,53,33,0,1,0
507849,33,1,2,18,5,53,36,1,0,0
507850,31,1,2,18,5,53,36,0,1,0
507851,22,19,2,18,5,53,54,0,1,0
507853,38,1,2,18,5,53,36,1,0,0
507855,53,1,2,18,5,53,36,1,0,0
507864,37,1,2,18,5,53,36,0,1,0
507866,26,1,2,18,5,53,36,0,1,0
507869,47,1,2,18,5,53,36,1,0,0
507870,37,1,2,18,5,53,36,0,1,0
507871,52,1,2,18,5,53,36,1,0,0
507875,37,13,7,18,5,56,18,0,1,0
507879,23,2,2,18,5,53,37,1,0,0
507880,23,28,3,18,5,54,31,0,1,0
507886,33,24,8,18,5,57,0,1,0,0
507888,22,8,2,18,5,53,43,0,1,0
506943,34,30,1,18,5,53,34,0,1,0
506946,27,29,1,18,5,53,33,0,1,0
506950,33,30,1,18,5,53,34,0,1,0
506952,38,7,9,18,5,57,14,0,1,0
506957,23,31,1,18,5,53,35,1,0,0
506960,24,25,2,18,5,54,0,1,0,0
506964,46,20,8,18,5,56,56,0,1,0
506965,40,2,2,18,5,53,37,1,0,0
506966,27,30,1,18,5,53,34,1,0,0
506969,24,27,2,18,5,54,2,0,1,0
506971,44,30,1,18,5,53,34,0,1,0
