ID_usuario,edad_usuario,año_alta,mes_alta,dia_alta,hora_alta_h,hora_alta_m,hora_alta_s,genero_FEMALE,genero_MALE,genero_OTHER
939755,48,2022,12,31,14,59,7,0,1,0
939781,34,2022,12,31,15,41,44,0,0,1
939836,20,2022,12,31,20,25,7,0,1,0
939795,39,2022,12,31,16,49,16,1,0,0
939659,34,2022,12,31,10,56,40,0,1,0
939793,18,2022,12,31,16,42,52,0,1,0
939773,50,2022,12,31,15,32,31,0,1,0
939599,21,2022,12,31,4,47,57,0,1,0
939760,26,2022,12,31,15,12,7,0,0,1
939805,21,2022,12,31,17,28,38,0,1,0
939584,24,2022,12,31,0,7,6,1,0,0
939688,23,2022,12,31,11,50,10,1,0,0
939830,22,2022,12,31,19,27,7,1,0,0
939586,39,2022,12,31,0,22,50,1,0,0
939774,23,2022,12,31,15,33,42,1,0,0
939831,28,2022,12,31,19,31,49,0,1,0
939651,33,2022,12,31,10,32,6,0,0,1
939593,21,2022,12,31,1,53,41,1,0,0
939796,33,2022,12,31,16,54,2,1,0,0
939847,20,2022,12,31,21,52,4,1,0,0
939782,30,2022,12,31,15,42,49,0,0,1
939613,28,2022,12,31,7,26,50,1,0,0
939666,36,2022,12,31,11,12,20,1,0,0
939792,30,2022,12,31,16,38,7,0,1,0
939721,39,2022,12,31,13,16,34,0,0,1
939767,20,2022,12,31,15,28,58,0,0,1
939844,26,2022,12,31,21,47,52,1,0,0
939806,51,2022,12,31,17,31,17,0,1,0
939616,35,2022,12,31,8,53,42,1,0,0
939716,22,2022,12,31,13,2,18,1,0,0
939660,44,2022,12,31,11,1,51,1,0,0
939840,25,2022,12,31,21,26,4,1,0,0
939592,21,2022,12,31,1,48,13,1,0,0
939808,39,2022,12,31,17,31,48,0,1,0
939821,48,2022,12,31,18,50,56,1,0,0
939704,46,2022,12,31,12,14,58,0,1,0
939752,54,2022,12,31,14,52,20,1,0,0
939800,25,2022,12,31,17,8,15,0,1,0
939587,24,2022,12,31,0,35,18,0,1,0
939708,35,2022,12,31,12,27,29,1,0,0
939594,26,2022,12,31,3,11,33,0,1,0
939726,20,2022,12,31,13,18,44,1,0,0
939600,20,2022,12,31,4,59,30,0,1,0
939753,25,2022,12,31,14,52,26,1,0,0
939683,25,2022,12,31,11,47,11,1,0,0
939628,39,2022,12,31,9,56,13,0,1,0
939612,29,2022,12,31,6,46,8,0,1,0
939749,25,2022,12,31,14,31,58,0,1,0
939677,38,2022,12,31,11,32,19,0,0,1
939778,28,2022,12,31,15,35,37,1,0,0
939833,25,2022,12,31,19,55,33,1,0,0
939842,31,2022,12,31,21,30,35,0,1,0
939728,39,2022,12,31,13,24,34,1,0,0
939748,23,2022,12,31,14,31,38,1,0,0
